industry,category_kr,brand,copy,date,url,src
healthcare_pharma,제약/의료/복지,센트룸 구미,건강은 챙겨야하고 맛없는 건 먹기 싫은 어른이들을 위해,2024-08-01,https://play.tvcf.co.kr/953731,AUG_240907
finance,금융/보험,LS증권 투혼,차가운 고수들의 투자 플랫폼,2024-08-01,https://play.tvcf.co.kr/954385,AUG_240907
finance,금융/보험,KB손해보험 다이렉트,음주운전은 부끄러운 게 아닙니다. 범죄입니다.,2024-08-01,https://play.tvcf.co.kr/954652,AUG_240907
beauty,화장품,CJ 올리브영,클린 뷰티 다정공식 완성!,2024-08-01,https://play.tvcf.co.kr/954339,AUG_240907
retail,서비스/유통/레저,홈플러스,또 한번 뛰어야 가볍게 산다.,2024-08-01,https://play.tvcf.co.kr/954378,AUG_240907
finance,금융/보험,현대해상,아이를 통해 행복을 키우는 세상,2024-08-01,https://play.tvcf.co.kr/954270,AUG_240907
public_gov,관공서/단체,한국수력원자력,새로운 에너지 세상을 만들다,2024-08-01,https://play.tvcf.co.kr/953767,AUG_240907
public_gov,관공서/단체,포카리스웨트 온열질환 예방 캠페인,여름을 보내는 방법은 달라도 여름을 지키는 방법은 같다.,2024-08-01,https://play.tvcf.co.kr/954381,AUG_240907
corporate_pr,기업PR,티타임A1,티타임 A1으로 쉽게 창업하세요.,2024-08-01,https://play.tvcf.co.kr/954419,AUG_240907
healthcare_pharma,제약/의료/복지,코스네이처,작은 한 알이지만 인류에겐 도약,2024-08-01,https://play.tvcf.co.kr/954626,AUG_240907
beverage_alcohol,음료/기호식품,켈리,부드러운 첫맛에 한 번. 강렬한 끝맛에 두 번.,2024-08-01,https://play.tvcf.co.kr/954359,AUG_240907
finance,금융/보험,캐롯손해보험,한 번 캐롯하면 다시 캐롯할 수밖에,2024-08-01,https://play.tvcf.co.kr/952927,AUG_240907
beverage_alcohol,음료/기호식품,카스,"대한민국 승리의 소리로, 진짜가 되는 시간",2024-08-01,https://play.tvcf.co.kr/954421,AUG_240907
public_gov,관공서/단체,전통시장 온누리상품권,"쓰던 카드 그대로, 대한민국 행복충전",2024-08-01,https://play.tvcf.co.kr/954357,AUG_240907
public_gov,관공서/단체,월드비전 글로벌 6K,나의 글로벌 6K,2024-08-01,https://play.tvcf.co.kr/954404,AUG_240907
beverage_alcohol,음료/기호식품,아르포텐 포스,아르포텐 포슨데요,2024-08-01,https://play.tvcf.co.kr/954275,AUG_240907
public_gov,관공서/단체,식품의약품안전처 마약중독 캠페인,"마약을 이기는 힘. 용기 한 걸음, 함께 한 걸음.",2024-08-01,https://play.tvcf.co.kr/954354,AUG_240907
beauty,화장품,스템앤셀,주름잡자,2024-08-01,https://play.tvcf.co.kr/955039,AUG_240907
public_gov,관공서/단체,서울특별시의사회,지켜주십시오. 공정 정의 상식.,2024-08-01,https://play.tvcf.co.kr/954394,AUG_240907
telecom,정보통신,삼성 갤럭시 워치 울트라,Go Ultra Challenge,2024-08-01,https://play.tvcf.co.kr/954355,AUG_240907
fnb,식품/제과,사세,삼천맛 흥행 사세 버팔로,2024-08-01,https://play.tvcf.co.kr/954138,AUG_240907
public_gov,관공서/단체,사랑의 열매,폼 나는 나눔 플랫폼,2024-08-01,https://play.tvcf.co.kr/954295,AUG_240907
corporate_pr,기업PR,빙그레,처음 입는 광복,2024-08-01,https://play.tvcf.co.kr/954376,AUG_240907
corporate_pr,기업PR,보건복지부,그래도… 매일 매일이 감탄!,2024-08-01,https://play.tvcf.co.kr/952911,AUG_240907
fnb,식품/제과,버거킹,"버거킹, 더 맛있더라구",2024-08-01,https://play.tvcf.co.kr/954390,AUG_240907
public_gov,관공서/단체,방송통신심의위원회,허위 정보가 영향을 주지 않도록,2024-08-01,https://play.tvcf.co.kr/954387,AUG_240907
education,출판/교육/문화,미래엔,미래엔 클래스가 다르다!,2024-08-01,https://play.tvcf.co.kr/954334,AUG_240907
finance,금융/보험,미래신용정보,채권 회수는 미래적으로,2024-08-01,https://play.tvcf.co.kr/954412,AUG_240907
beverage_alcohol,음료/기호식품,몽베스트 블랜딩 콤부차,"taste, best",2024-08-01,https://play.tvcf.co.kr/950138,AUG_240907
home_appliance,전기전자,메디큐브 에이지알,전문 고주파가 만드는 압도적 탄력 개선,2024-08-01,https://play.tvcf.co.kr/954744,AUG_240907
beauty,화장품,딘토,"아름다움의 깊이, 딘토",2024-08-01,https://play.tvcf.co.kr/954271,AUG_240907
healthcare_pharma,제약/의료/복지,둘코락스,변비가 당신의 하루를 막고 있다면,2024-08-01,https://play.tvcf.co.kr/954342,AUG_240907
telecom,정보통신,넷플릭스,요즘 넷플 뭐 봄?,2024-08-01,https://play.tvcf.co.kr/954401,AUG_240907
education,출판/교육/문화,YBM Y클라우드,뉴스포츠 교육이 필요한 순간,2024-08-01,https://play.tvcf.co.kr/957496,AUG_240907
healthcare_pharma,제약/의료/복지,안정액,안정이 세상을 구한다,2024-08-01,https://play.tvcf.co.kr/954328,AUG_240907
healthcare_pharma,제약/의료/복지,코스네이처,영양소 만원입니다,2024-08-01,https://play.tvcf.co.kr/954622,AUG_240907
home_appliance,전기전자,LG 시네빔 큐브,당신의 세상을 움직이다,2024-08-02,https://play.tvcf.co.kr/954431,AUG_240907
healthcare_pharma,제약/의료/복지,콜레올로지,빨간통만 기억하세요,2024-08-02,https://play.tvcf.co.kr/954469,AUG_240907
healthcare_pharma,제약/의료/복지,맨올로지 컷,누가 하든 성공할 수 있어요,2024-08-02,https://play.tvcf.co.kr/954478,AUG_240907
home_appliance,전기전자,더 라그나로크,추억으로 초대합니다,2024-08-02,https://play.tvcf.co.kr/954973,AUG_240907
home_living,생활/가정용품,비트캡슐 울트라콤팩트,빨래 양 적을 땐 비트캡슐 울트라콤팩트,2024-08-02,https://play.tvcf.co.kr/954475,AUG_240907
beverage_alcohol,음료/기호식품,레몬진,찐! 통레몬 탄산주 레몬진,2024-08-02,https://play.tvcf.co.kr/953398,AUG_240907
automotive,자동차/정유,제네시스 GV60,ready to drive?,2024-08-02,https://play.tvcf.co.kr/957088,AUG_240907
automotive,자동차/정유,T station,세상 편한 타이어서비스,2024-08-03,https://play.tvcf.co.kr/954600,AUG_240907
home_appliance,전기전자,LG webOS,"TV, 매년 새로워지다",2024-08-03,https://play.tvcf.co.kr/954459,AUG_240907
home_appliance,전기전자,LG 퓨리케어 오브제컬렉션 얼음정수기,처음.얼음.그대로.,2024-08-03,https://play.tvcf.co.kr/954460,AUG_240907
fnb,식품/제과,원할머니보쌈족발,No.1 보쌈의 정수,2024-08-03,https://play.tvcf.co.kr/953123,AUG_240907
telecom,정보통신,KT M모바일,참말로 그냥 M모 했씨유,2024-08-05,https://play.tvcf.co.kr/954648,AUG_240907
finance,금융/보험,KB자산운용,"다가오는 내일, 떠오르는 투자",2024-08-05,https://play.tvcf.co.kr/954666,AUG_240907
finance,금융/보험,KB국민은행,금융은 역시,2024-08-05,https://play.tvcf.co.kr/954665,AUG_240907
finance,금융/보험,KB국민은행,대한민국 모두의 금융 흥행작이 될 때까지,2024-08-05,https://play.tvcf.co.kr/954675,AUG_240907
fnb,식품/제과,동원 선물세트,온 가족 모두 참치~,2024-08-05,https://play.tvcf.co.kr/954740,AUG_240907
corporate_pr,기업PR,대상그룹,"당신의 삶이라는 멋진 영화 속, 맛있는 순간, 행복한 순간을 늘 함께해 온 우리.
우리는 모두 당신이 사람하는 대상입니다.",2024-08-05,https://play.tvcf.co.kr/954983,AUG_240907
public_gov,관공서/단체,한국화재보험협회,불안함을 피하지 마세요,2024-08-05,https://play.tvcf.co.kr/954658,AUG_240907
corporate_pr,기업PR,KB금융그룹,국민의 염원을 담아 국민과 함께 응원합니다.,2024-08-06,https://play.tvcf.co.kr/954903,AUG_240907
corporate_pr,기업PR,현대자동차그룹,여섯 명의 양궁 대표팀 선수들 고맙습니다.,2024-08-06,https://play.tvcf.co.kr/954902,AUG_240907
fashion,패션/스포츠,푸마,Rewrite the Classics,2024-08-06,https://play.tvcf.co.kr/954916,AUG_240907
fnb,식품/제과,맘스터치,"사랑의 하츄핑, 오늘, 맘스터치에서 만나요!",2024-08-07,https://play.tvcf.co.kr/954956,AUG_240907
corporate_pr,기업PR,LG전자,공간.미래.연결하다.,2024-08-07,https://play.tvcf.co.kr/955009,AUG_240907
healthcare_pharma,제약/의료/복지,GNM 자연의 품격,"간, 눈, 혈행 건강을 한판에!",2024-08-07,https://play.tvcf.co.kr/955400,AUG_240907
home_appliance,전기전자,리니지 M,정점에서 마주한 위대한 만남,2024-08-07,https://play.tvcf.co.kr/956075,AUG_240907
retail,서비스/유통/레저,29CM,29HOME에서 구함,2024-08-08,https://play.tvcf.co.kr/955441,AUG_240907
beauty,화장품,CJ 올리브영,"올영으로, 나에게 옳은쪽으로",2024-08-08,https://play.tvcf.co.kr/955179,AUG_240907
healthcare_pharma,제약/의료/복지,코웰메디 임플란트,임플란트는 역시 코엘메디로 진행시켜.,2024-08-08,https://play.tvcf.co.kr/955163,AUG_240907
healthcare_pharma,제약/의료/복지,정관장,건강은 정관장으로,2024-08-08,https://play.tvcf.co.kr/955006,AUG_240907
healthcare_pharma,제약/의료/복지,아큐브 오아시스 MAX 원데이 멀티포컬,노안이요? 방법이 있어요,2024-08-08,https://play.tvcf.co.kr/955175,AUG_240907
healthcare_pharma,제약/의료/복지,식중독예방 캠페인,"안전한 식사 준비, 식중독 예방 실천 요령으로 다 했다",2024-08-08,https://play.tvcf.co.kr/955167,AUG_240907
public_gov,관공서/단체,공익광고협의회,우리는 모두 우리,2024-08-08,https://play.tvcf.co.kr/955038,AUG_240907
finance,금융/보험,교보생명,"생활에 감이 필요할 때, 교보로 감",2024-08-08,https://play.tvcf.co.kr/955164,AUG_240907
automotive,자동차/정유,The Kia K8,당신이 빛나는 이유,2024-08-09,https://play.tvcf.co.kr/955235,AUG_240907
corporate_pr,기업PR,퍼시픽링스,대한민국 골프 국가대표팀을 응원합니다,2024-08-09,https://play.tvcf.co.kr/955234,AUG_240907
public_gov,관공서/단체,경기도 기회소득,가치있는 활동에 정당한 보상을,2024-08-09,https://play.tvcf.co.kr/955233,AUG_240907
beverage_alcohol,음료/기호식품,진로골드,부드러움의 황금비율,2024-08-09,https://play.tvcf.co.kr/955295,AUG_240907
healthcare_pharma,제약/의료/복지,슬림웨이다이어트,슬림한 몸매 갖고싶니?,2024-08-09,https://play.tvcf.co.kr/955232,AUG_240907
finance,금융/보험,네이버페이,똑똑한 자동차 보험 비교. 네이버페이로 시작.,2024-08-09,https://play.tvcf.co.kr/955242,AUG_240907
beauty,화장품,슈링크,당신의 피부 고민이 삶의 고민이 되지 않도록,2024-08-09,https://play.tvcf.co.kr/955161,AUG_240907
beverage_alcohol,음료/기호식품,맥심 T.O.P,"가장 가까운 휴식, 맥심 T.O.P",2024-08-09,https://play.tvcf.co.kr/955519,AUG_240907
fnb,식품/제과,하겐다즈,The ice cream of ice creams,2024-08-10,https://play.tvcf.co.kr/955246,AUG_240907
beverage_alcohol,음료/기호식품,카스,CassCool에서 모두가 하나되는 소리!,2024-08-10,https://play.tvcf.co.kr/955247,AUG_240907
beverage_alcohol,음료/기호식품,카누,WHAT'S YOUR KANU?,2024-08-10,https://play.tvcf.co.kr/955244,AUG_240907
home_appliance,전기전자,던전앤파이터 모바일,우리가 기다린 당신의 플레이,2024-08-10,https://play.tvcf.co.kr/955464,AUG_240907
automotive,자동차/정유,아임반,아임반 했습니다. I'm 반했습니다.,2024-08-12,https://play.tvcf.co.kr/955270,AUG_240907
fnb,식품/제과,족발의신,족발에 화덕을 더하다,2024-08-12,https://play.tvcf.co.kr/955404,AUG_240907
public_gov,관공서/단체,위드플러스,간병에 대한 걱정이 줄었습니다.,2024-08-12,https://play.tvcf.co.kr/955405,AUG_240907
public_gov,관공서/단체,사랑의 열매,기부는 나답기 위한 것,2024-08-12,https://play.tvcf.co.kr/955321,AUG_240907
home_appliance,전기전자,쿠쿠 셰프스틱 프리존 인덕션,"쿠쿠의 열기, 끝까지 간다",2024-08-12,https://play.tvcf.co.kr/955423,AUG_240907
retail,서비스/유통/레저,별그리다 더프라우드,Proud of You,2024-08-12,https://play.tvcf.co.kr/955447,AUG_240907
fnb,식품/제과,버거킹,진짜 불맛은 몸으로 기억된다.,2024-08-12,https://play.tvcf.co.kr/955458,AUG_240907
finance,금융/보험,더핀,"대출 비교, 더핀으로 끝.",2024-08-12,https://play.tvcf.co.kr/955601,AUG_240907
finance,금융/보험,IBK 기업은행,"IBK기업은행이 되고 싶은 우산, 거꾸로 우산",2024-08-13,https://play.tvcf.co.kr/955579,AUG_240907
home_appliance,전기전자,일곱 개의 대죄 키우기,숨만 쉬어도 성장하는 성장촉진 RPG,2024-08-13,https://play.tvcf.co.kr/955733,AUG_240907
beverage_alcohol,음료/기호식품,하이뮨 프로틴밸런스 액티브,"요즘 나의 베프, 하이뮨",2024-08-13,https://play.tvcf.co.kr/955755,AUG_240907
home_appliance,전기전자,메이플스토리,그란데스의 안식과 자유를 위해,2024-08-13,https://play.tvcf.co.kr/955796,AUG_240907
healthcare_pharma,제약/의료/복지,셀메드,하루를 빈틈없이 커버하는 셀메드 플랜을 셀메드 상담소에서 만나보세요.,2024-08-13,https://play.tvcf.co.kr/956067,AUG_240907
healthcare_pharma,제약/의료/복지,정관장,김혜윤도 정관장으로 에너지 관리중입니다,2024-08-14,https://play.tvcf.co.kr/955582,AUG_240907
automotive,자동차/정유,에쓰오일,GLOVE FOR GLOBE,2024-08-14,https://play.tvcf.co.kr/955603,AUG_240907
fashion,패션/스포츠,캘러웨이 어패럴,"모든 순간 새롭기에, 모든 순간 즐거운",2024-08-14,https://play.tvcf.co.kr/955638,AUG_240907
public_gov,관공서/단체,교육부 착플 캠페인,칭찬은 칭찬으로 돌아오는 법,2024-08-14,https://play.tvcf.co.kr/955716,AUG_240907
finance,금융/보험,KB국민은행,일상이 편해지는 KB스타뱅킹,2024-08-14,https://play.tvcf.co.kr/955637,AUG_240907
public_gov,관공서/단체,저작권 캠페인,"저작권 가치, 우리가 같이",2024-08-14,https://play.tvcf.co.kr/955725,AUG_240907
beauty,화장품,THE WHOO,ART OF BALANCE,2024-08-14,https://play.tvcf.co.kr/955747,AUG_240907
healthcare_pharma,제약/의료/복지,관절닥터 타마본 5Days,🎵파이브 데이즈 관절 랄랄랄라~,2024-08-14,https://play.tvcf.co.kr/956005,AUG_240907
healthcare_pharma,제약/의료/복지,우루샷,"오늘의 피로 청소, 우루샷",2024-08-14,https://play.tvcf.co.kr/955605,AUG_240907
telecom,정보통신,AFK 새로운 여정,에스페리아의 인도자여. 영웅들을 이끌고 출발하라!,2024-08-15,https://play.tvcf.co.kr/955741,AUG_240907
education,출판/교육/문화,MBC건축박람회,"공간, 그 이상의 가치가 실현되는 곳",2024-08-15,https://play.tvcf.co.kr/955746,AUG_240907
automotive,자동차/정유,폴스타4,그런 건 본 적이 없었어요,2024-08-15,https://play.tvcf.co.kr/955748,AUG_240907
telecom,정보통신,삼성 갤럭시 Z 플립6,Galaxy AI is here,2024-08-15,https://play.tvcf.co.kr/957195,AUG_240907
retail,서비스/유통/레저,여행먼저크루즈,여행 먼저 돈은 나중에,2024-08-15,https://play.tvcf.co.kr/955742,AUG_240907
telecom,정보통신,쿠팡 플레이,쿠팡과 쿠팡플레이가 승현이의 꿈을 응원합니다,2024-08-16,https://play.tvcf.co.kr/955720,AUG_240907
home_appliance,전기전자,볼뉴머,"설렘의 시작, 볼뉴머",2024-08-16,https://play.tvcf.co.kr/955729,AUG_240907
automotive,자동차/정유,더 뉴 투아렉,인생이란 네 안의 즐거움을 발견해가는 여정이란다,2024-08-16,https://play.tvcf.co.kr/955753,AUG_240907
telecom,정보통신,SK텔레콤,AI로 대한민국을 새롭게 하는 힘,2024-08-16,https://play.tvcf.co.kr/955768,AUG_240907
automotive,자동차/정유,New 르노 그랑 콜레오스 E-Tech 하이브리드,THINK WIDER,2024-08-16,https://play.tvcf.co.kr/955766,AUG_240907
home_living,생활/가정용품,퍼울,"새옷인가요? 아니, 퍼울했죠",2024-08-16,https://play.tvcf.co.kr/955769,AUG_240907
healthcare_pharma,제약/의료/복지,아큐브 오아시스 원데이,"선명함의 차이, 너만의 퍼포먼스를 보여줘",2024-08-16,https://play.tvcf.co.kr/955773,AUG_240907
public_gov,관공서/단체,2024 충장로라온페스타,END가 아닌 AND,2024-08-16,https://play.tvcf.co.kr/955775,AUG_240907
automotive,자동차/정유,메르세데스 벤츠 S-CLASS,누구도 따르지 않는다. 시대의 기준이 될 뿐이다.,2024-08-17,https://play.tvcf.co.kr/955777,AUG_240907
finance,금융/보험,신한금융그룹,당신 덕분입니다.,2024-08-17,https://play.tvcf.co.kr/955776,AUG_240907
fnb,식품/제과,롯데리아,"즐겁게, 재밌게, 맛있게. 세계가 K버거의 세계로.",2024-08-17,https://play.tvcf.co.kr/955996,AUG_240907
beverage_alcohol,음료/기호식품,게토레이,"나의 땀이, 나의 위대함",2024-08-18,https://play.tvcf.co.kr/955778,AUG_240907
beverage_alcohol,음료/기호식품,베지밀 꼭꼭 씹히는 애플망고 두유,씹어야 풀린다,2024-08-19,https://play.tvcf.co.kr/955959,AUG_240907
beauty,화장품,무신사뷰티,"Next Beauty, Musinsa Beauty",2024-08-19,https://play.tvcf.co.kr/955791,AUG_240907
telecom,정보통신,KT,"KT, 당신과 미래 사이에",2024-08-19,https://play.tvcf.co.kr/955790,AUG_240907
healthcare_pharma,제약/의료/복지,농협홍삼 한삼인,나는 한삼인,2024-08-19,https://play.tvcf.co.kr/955802,AUG_240907
fnb,식품/제과,해남고구마,청정 땅끝에서 자란 명품 해남고구마,2024-08-19,https://play.tvcf.co.kr/955956,AUG_240907
healthcare_pharma,제약/의료/복지,메디콕,우리 모두 메디콕해,2024-08-19,https://play.tvcf.co.kr/955955,AUG_240907
automotive,자동차/정유,KGM ACTYON,아름다운 실용주의,2024-08-19,https://play.tvcf.co.kr/955958,AUG_240907
beauty,화장품,닥터지 바쿠치올 포어젯,청렴한 모공! 밝아진 내일! 젯바른 모공대책,2024-08-19,https://play.tvcf.co.kr/955972,AUG_240907
public_gov,관공서/단체,서울관광재단,Feel Soul Good,2024-08-19,https://play.tvcf.co.kr/955977,AUG_240907
public_gov,관공서/단체,세이브더칠드런,당신과 함께 한 아이라도 더. Save 더 Children.,2024-08-19,https://play.tvcf.co.kr/955889,AUG_240907
fnb,식품/제과,써브웨이,"손, 님이 다했다",2024-08-19,https://play.tvcf.co.kr/957092,AUG_240907
beverage_alcohol,음료/기호식품,카스 라이트,나만의 라이트 타임!,2024-08-20,https://play.tvcf.co.kr/956029,AUG_240907
fashion,패션/스포츠,르무통,서 있을 땐 르무통,2024-08-20,https://play.tvcf.co.kr/956038,AUG_240907
automotive,자동차/정유,The Kia EV3,"궁금증 해결도 베테랑답게, 기아 AI어시스턴트",2024-08-20,https://play.tvcf.co.kr/956176,AUG_240907
beverage_alcohol,음료/기호식품,링티,의사가 만든 링티,2024-08-20,https://play.tvcf.co.kr/956039,AUG_240907
fnb,식품/제과,농심 신라면,우리에겐 신라면이 있다,2024-08-20,https://play.tvcf.co.kr/957198,AUG_240907
public_gov,관공서/단체,세이브더칠드런,지울 수 있으면 지킬 수 있습니다.,2024-08-20,https://play.tvcf.co.kr/955986,AUG_240907
education,출판/교육/문화,2024 영양고추 HOT 페스티벌,K매운맛 영양고추 맛보러 오이소~,2024-08-21,https://play.tvcf.co.kr/956169,AUG_240907
home_appliance,전기전자,리니지 리마스터,이계를 넘어선 거대한 움직임,2024-08-21,https://play.tvcf.co.kr/956189,AUG_240907
finance,금융/보험,현대카드,GOLD. SILVER. 이 평범한 단어가 누굴 만나느냐에 따라 이렇게 달라지는 거다.,2024-08-21,https://play.tvcf.co.kr/956190,AUG_240907
fashion,패션/스포츠,테일러메이드,스타일리쉬 퍼포우먼스,2024-08-21,https://play.tvcf.co.kr/956537,AUG_240907
automotive,자동차/정유,HD현대,진심을 주유합니다,2024-08-21,https://play.tvcf.co.kr/956044,AUG_240907
fnb,식품/제과,짜슐랭,더 진하고 풍미로운 짜슐랭,2024-08-22,https://play.tvcf.co.kr/956041,AUG_240907
fashion,패션/스포츠,부쉬넬 골프,PGA 99%가 사용하는 단 하나의 도구,2024-08-22,https://play.tvcf.co.kr/956188,AUG_240907
telecom,정보통신,LG유플러스,통신비 하나로 다 되는 세상,2024-08-22,https://play.tvcf.co.kr/956230,AUG_240907
automotive,자동차/정유,포르쉐 타이칸,"한계, 그 이상의 새로운 타이칸",2024-08-22,https://play.tvcf.co.kr/956231,AUG_240907
fnb,식품/제과,버거킹 올데이킹 몬스터주니어,이게 몬주 알아?,2024-08-22,https://play.tvcf.co.kr/957446,AUG_240907
healthcare_pharma,제약/의료/복지,아로나민 골드,먹은 나와 안먹은 나의 차이,2024-08-23,https://play.tvcf.co.kr/956245,AUG_240907
home_appliance,전기전자,쿠첸 그레인,잡곡으로 건강하자,2024-08-23,https://play.tvcf.co.kr/956417,AUG_240907
home_appliance,전기전자,바디프랜드 에덴,전신쾌감 스트레칭,2024-08-23,https://play.tvcf.co.kr/956409,AUG_240907
beverage_alcohol,음료/기호식품,정관장 활기력 MAX,"차원이 다른 ENERGY, 활기력 MAX",2024-08-23,https://play.tvcf.co.kr/956350,AUG_240907
fashion,패션/스포츠,블랙야크,"편하게 생각해, 요크셔처럼",2024-08-23,https://play.tvcf.co.kr/956356,AUG_240907
fashion,패션/스포츠,마스터바니에디션,beyond masterpiece,2024-08-23,https://play.tvcf.co.kr/956427,AUG_240907
beauty,화장품,닥터지 바쿠치올 포어젯,"퇴근도, 모공관리도 젯-바르게",2024-08-23,https://play.tvcf.co.kr/956685,AUG_240907
fashion,패션/스포츠,스노우피크 어패럴,문득 가을이 왔다. 스노우피크 왔다,2024-08-23,https://play.tvcf.co.kr/957378,AUG_240907
healthcare_pharma,제약/의료/복지,판시딜,덜빠지게 굵어지게 풍성하게,2024-08-24,https://play.tvcf.co.kr/956413,AUG_240907
home_living,생활/가정용품,에이스침대,"모두가 아는 숙면 공식, 침대=과학",2024-08-24,https://play.tvcf.co.kr/956415,AUG_240907
fashion,패션/스포츠,바로인슈즈,너도 한 번 신어봐,2024-08-24,https://play.tvcf.co.kr/956412,AUG_240907
healthcare_pharma,제약/의료/복지,메디콕,나에게 콕 맞춘 새로운 건강습관,2024-08-24,https://play.tvcf.co.kr/956414,AUG_240907
beauty,화장품,헤라,"MORE YOU, EFFORTLESSLY",2024-08-26,https://play.tvcf.co.kr/956449,AUG_240907
beauty,화장품,제로이드,"피부 장벽 제대로, 피부 고민 ZERO",2024-08-26,https://play.tvcf.co.kr/956525,AUG_240907
automotive,자동차/정유,에쓰오일,요즘에는 다들 MY S-OIL 앱에 있는 전자영수증으로 종이를 아낀다구요.,2024-08-26,https://play.tvcf.co.kr/956582,AUG_240907
healthcare_pharma,제약/의료/복지,웰릿 이뮨베라,맛있게 쌓는 면역,2024-08-26,https://play.tvcf.co.kr/956575,AUG_240907
public_gov,관공서/단체,행정안전부,지진을 대하는 우리의 자세,2024-08-27,https://play.tvcf.co.kr/956643,AUG_240907
public_gov,관공서/단체,대한장애인체육회,패럴림픽에서도 다시 뜨겁게,2024-08-27,https://play.tvcf.co.kr/956677,AUG_240907
healthcare_pharma,제약/의료/복지,정관장 에브리타임,리프레시가 필요할 땐? 깨먹자!,2024-08-27,https://play.tvcf.co.kr/956692,AUG_240907
finance,금융/보험,KB증권,똑똑한 AI를 언제 어디서나 편리하게 만나보세요,2024-08-27,https://play.tvcf.co.kr/956724,AUG_240907
healthcare_pharma,제약/의료/복지,영진 구론산 바몬드,큰 피로엔 구론구론!,2024-08-27,https://play.tvcf.co.kr/956824,AUG_240907
healthcare_pharma,제약/의료/복지,락토핏,올 추석에도 락토핏으로 건강을 선물하세요,2024-08-27,https://play.tvcf.co.kr/956644,AUG_240907
beauty,화장품,CJ 올리브영 올영세일,우리의 가을을 버라이어티하게,2024-08-28,https://play.tvcf.co.kr/956668,AUG_240907
home_appliance,전기전자,2024 NEW 코웨이 icon 얼음정수기,갓 만든 신선한 얼음을 바로바로!,2024-08-28,https://play.tvcf.co.kr/956743,AUG_240907
telecom,정보통신,구글플레이,"고플레이, 구글플레이",2024-08-28,https://play.tvcf.co.kr/957112,AUG_240907
telecom,정보통신,SK텔레콤,보안부터 AI까지 안심의 풀코스,2024-08-28,https://play.tvcf.co.kr/957133,AUG_240907
healthcare_pharma,제약/의료/복지,그날엔,"세상 빠른 이별, 그날엔",2024-08-28,https://play.tvcf.co.kr/957150,AUG_240907
home_appliance,전기전자,영웅전설: 가가브 트릴로지,또 다시 당신을 설레게 할 천년의 이야기,2024-08-28,https://play.tvcf.co.kr/957399,AUG_240907
healthcare_pharma,제약/의료/복지,정관장 황진단,"황진단, 작품이 되다",2024-08-28,https://play.tvcf.co.kr/957374,AUG_240907
home_living,생활/가정용품,좋은느낌,좋은 느낌이 좋으니까,2024-08-29,https://play.tvcf.co.kr/956807,AUG_240907
beauty,화장품,오브제 내추럴 커버로션,너의 최고 버전이 되어봐,2024-08-29,https://play.tvcf.co.kr/957045,AUG_240907
telecom,정보통신,구글플레이,"플레이어는 하나, 영웅은 다섯",2024-08-29,https://play.tvcf.co.kr/957049,AUG_240907
home_appliance,전기전자,코웨이 비렉스 리클라이닝 안마베드,안마는 비렉스인 이유,2024-08-29,https://play.tvcf.co.kr/957102,AUG_240907
retail,서비스/유통/레저,에버랜드,예측할 수 없던 우리 학교 이야기의 시작,2024-08-29,https://play.tvcf.co.kr/957134,AUG_240907
fashion,패션/스포츠,파리게이츠,Join the PG,2024-08-29,https://play.tvcf.co.kr/957193,AUG_240907
public_gov,관공서/단체,서울관광재단,여기 서울에서 너만의 소울을 느껴봐,2024-08-29,https://play.tvcf.co.kr/957096,AUG_240907
home_appliance,전기전자,안방그릴,심플한 미식라이프,2024-08-30,https://play.tvcf.co.kr/957097,AUG_240907
telecom,정보통신,젠톡,"나에 대한 모든 이유, GenTok",2024-08-30,https://play.tvcf.co.kr/957154,AUG_240907
beverage_alcohol,음료/기호식품,빙그레 바나나맛우유,"역시, 너도 국가대표야",2024-08-30,https://play.tvcf.co.kr/957155,AUG_240907
telecom,정보통신,KT,그 멋진꿈도 KT가 함께할게요,2024-08-30,https://play.tvcf.co.kr/957199,AUG_240907
education,출판/교육/문화,KBS 2024 파리 패럴림픽,KBS가 파리 패럴림픽을 응원합니다,2024-08-30,https://play.tvcf.co.kr/957201,AUG_240907
education,출판/교육/문화,전국체육대회·전국장애인체육대회,파리의 열기를 다시 한 번 경남에서,2024-08-30,https://play.tvcf.co.kr/957197,AUG_240907
healthcare_pharma,제약/의료/복지,마그랩,1등 마그네슘 마그랩,2024-08-30,https://play.tvcf.co.kr/957202,AUG_240907
retail,서비스/유통/레저,참좋은여행,함께라 참 좋다,2024-08-30,https://play.tvcf.co.kr/957423,AUG_240907
education,출판/교육/문화,YBM,"멋진 교과서, YBM 교과서",2024-08-30,https://play.tvcf.co.kr/957527,AUG_240907
automotive,자동차/정유,아이오닉 5N,Never just drive,2024-08-31,https://play.tvcf.co.kr/957379,AUG_240907
education,출판/교육/문화,KBS 캠페인,우리 아이 우리 미래,2024-08-31,https://play.tvcf.co.kr/957204,AUG_240907
automotive,자동차/정유,The 기아 EV,당신을 변화시키는 움직임,2024-04-01,https://play.tvcf.co.kr/940488,Apr_240507_0508 수정
education,출판/교육/문화,SBS Play,즐거움을 잇다!,2024-04-01,https://play.tvcf.co.kr/940480,Apr_240507_0508 수정
education,출판/교육/문화,SBS,선거방송은 SBS,2024-04-01,https://play.tvcf.co.kr/940478,Apr_240507_0508 수정
